Name	Type	Species	Height	Weight	Abilities	Local_Num	National_Num	Catch_Rate	EV_Yield	Base_Friendship	Base_Exp	Growth_Rate	Egg_Groups	Gender	Egg_Cycles	Stats	Total	Learnset
Bulbasaur	('Grass', 'Poison')	Seed Pokemon	0.7	6.9	('Overgrow', 'Chlorophyll')	{'R/B/Y': 1, 'G/S/C': 226, 'FR/LG': 1, 'HG/SS': 231, 'X/Y': 80}	1	45	[0, 0, 0, 1, 0, 0]	50	64	Medium Slow	('Grass', 'Monster')	(87.5, 12.5)	20	[45, 49, 49, 65, 65, 45]	318	[('Tackle', 1), ('Growl', 3), ('Leech Seed', 7), ('Vine Whip', 9), ('Poison Powder', 13), ('Sleep Powder', 13), ('Take Down', 15), ('Razor Leaf', 19), ('Sweet Scent', 21), ('Growth', 25), ('Double -Edge', 27), ('Worry Seed', 31), ('Synthesis', 33), ('Seed Bomb', 37)]
Ivysaur	('Grass', 'Poison')	Seed Pokemon	1.0	13.0	('Overgrow', 'Chlorophyll')	{'R/B/Y': 2, 'G/S/C': 227, 'FR/LG': 2, 'HG/SS': 232, 'X/Y': 81}	2	45	[0, 0, 0, 1, 1, 0]	50	142	Medium Slow	('Grass', 'Monster')	(87.5, 12.5)	20	[60, 62, 63, 80, 80, 60]	405	[('Growl', 1), ('Leech Seed', 1), ('Tackle', 1), ('Growl', 3), ('Leech Seed', 7), ('Vine Whip', 9), ('Poison Powder', 13), ('Sleep Powder', 13), ('Take Down', 15), ('Razor Leaf', 20), ('Sweet Scent', 23), ('Growth', 28), ('Double -Edge', 31), ('Worry Seed', 36), ('Synthesis', 39), ('Solar Beam', 44)]
Venusaur	('Grass', 'Poison')	Seed Pokemon	2.0	100.0	('Overgrow', 'Chlorophyll')	{'R/B/Y': 3, 'G/S/C': 228, 'FR/LG': 3, 'HG/SS': 233, 'X/Y': 82}	3	45	[0, 0, 0, 2, 1, 0]	50	236	Medium Slow	('Grass', 'Monster')	(87.5, 12.5)	20	[80, 82, 83, 100, 100, 80]	525	[('Growl', 1), ('Leech Seed', 1), ('Tackle', 1), ('Vine Whip', 1), ('Growl', 3), ('Leech Seed', 7), ('Vine Whip', 9), ('Poison Powder', 13), ('Sleep Powder', 13), ('Take Down', 15), ('Razor Leaf', 20), ('Sweet Scent', 23), ('Growth', 28), ('Double -Edge', 31), ('Petal Dance', 32), ('Worry Seed', 39), ('Synthesis', 45), ('Solar Beam', 53)]
Mega Venusaur	('Grass', 'Poison')	Seed Pokemon	2.4	155.5	('Thick Fat', '')	{'R/B/Y': 3, 'G/S/C': 228, 'FR/LG': 3, 'HG/SS': 233, 'X/Y': 82}	3	45	[0, 0, 0, 2, 1, 0]	50	281	Medium Slow	('Grass', 'Monster')	(87.5, 12.5)	20	[80, 100, 123, 122, 120, 80]	625	[('Growl', 1), ('Leech Seed', 1), ('Tackle', 1), ('Vine Whip', 1), ('Growl', 3), ('Leech Seed', 7), ('Vine Whip', 9), ('Poison Powder', 13), ('Sleep Powder', 13), ('Take Down', 15), ('Razor Leaf', 20), ('Sweet Scent', 23), ('Growth', 28), ('Double -Edge', 31), ('Petal Dance', 32), ('Worry Seed', 39), ('Synthesis', 45), ('Solar Beam', 53)]
Charmander	Fire	Lizard Pokemon	0.6	8.5	('Blaze', 'Solar Power')	{'R/B/Y': 4, 'G/S/C': 229, 'FR/LG': 4, 'HG/SS': 234, 'X/Y': 83, 'S/S': 378}	4	45	[0, 0, 0, 0, 0, 1]	50	62	Medium Slow	('Dragon', 'Monster')	(87.5, 12.5)	20	[39, 52, 43, 60, 50, 65]	309	[('Growl', 1), ('Scratch', 1), ('Ember', 7), ('Smoke Screen', 10), ('Dragon Rage', 16), ('Scary Face', 19), ('Fire Fang', 25), ('Slash', 28), ('Flamethrower', 34), ('Fire Spin', 37)]
Charmeleon	Fire	Flame Pokemon	1.1	19.0	('Blaze', 'Solar Power')	{'R/B/Y': 5, 'G/S/C': 230, 'FR/LG': 5, 'HG/SS': 235, 'X/Y': 84, 'S/S': 379}	5	45	[0, 0, 0, 1, 0, 1]	50	142	Medium Slow	('Dragon', 'Monster')	(87.5, 12.5)	20	[58, 64, 58, 80, 65, 80]	405	[('Ember', 1), ('Growl', 1), ('Scratch', 1), ('Ember', 7), ('Smoke Screen', 10), ('Dragon Rage', 17), ('Scary Face', 21), ('Fire Fang', 28), ('Slash', 32), ('Flamethrower', 39), ('Fire Spin', 43)]
Charizard	('Fire', 'Flying')	Flame Pokemon	1.7	90.5	('Blaze', 'Solar Power')	{'R/B/Y': 6, 'G/S/C': 231, 'FR/LG': 6, 'HG/SS': 236, 'X/Y': 85, 'S/S': 380}	6	45	[0, 0, 0, 3, 0, 0]	50	240	Medium Slow	('Dragon', 'Monster')	(87.5, 12.5)	20	[78, 84, 78, 109, 85, 100]	534	[('Air Slash', 1), ('Dragon Claw', 1), ('Ember', 1), ('Growl', 1), ('Scratch', 1), ('Shadow Claw', 1), ('Smoke Screen', 1), ('Ember', 7), ('Smoke Screen', 10), ('Dragon Rage', 17), ('Scary Face', 21), ('Fire Fang', 28), ('Slash', 32), ('Wing Attack', 36), ('Flamethrower', 42), ('Fire Spin', 49), ('Heat Wave', 59), ('Flare Blitz', 66)]
Mega Charizard X	('Fire', 'Dragon')	Flame Pokemon	1.7	110.5	('Tough Claws', '')	{'R/B/Y': 6, 'G/S/C': 231, 'FR/LG': 6, 'HG/SS': 236, 'X/Y': 85, 'S/S': 380}	6	45	[0, 0, 0, 3, 0, 0]	50	285	Medium Slow	('Dragon', 'Monster')	(87.5, 12.5)	20	[78, 130, 111, 130, 85, 100]	634	[('Air Slash', 1), ('Dragon Claw', 1), ('Ember', 1), ('Growl', 1), ('Scratch', 1), ('Shadow Claw', 1), ('Smoke Screen', 1), ('Ember', 7), ('Smoke Screen', 10), ('Dragon Rage', 17), ('Scary Face', 21), ('Fire Fang', 28), ('Slash', 32), ('Wing Attack', 36), ('Flamethrower', 42), ('Fire Spin', 49), ('Heat Wave', 59), ('Flare Blitz', 66)]
Mega Charizard Y	('Fire', 'Flying')	Flame Pokemon	1.7	100.5	('Drought', '')	{'R/B/Y': 6, 'G/S/C': 231, 'FR/LG': 6, 'HG/SS': 236, 'X/Y': 85, 'S/S': 380}	6	45	[0, 0, 0, 3, 0, 0]	50	285	Medium Slow	('Dragon', 'Monster')	(87.5, 12.5)	20	[78, 104, 78, 159, 115, 100]	634	[('Air Slash', 1), ('Dragon Claw', 1), ('Ember', 1), ('Growl', 1), ('Scratch', 1), ('Shadow Claw', 1), ('Smoke Screen', 1), ('Ember', 7), ('Smoke Screen', 10), ('Dragon Rage', 17), ('Scary Face', 21), ('Fire Fang', 28), ('Slash', 32), ('Wing Attack', 36), ('Flamethrower', 42), ('Fire Spin', 49), ('Heat Wave', 59), ('Flare Blitz', 66)]
Squirtle	Water	Tiny Turtle Pokemon	0.5	9.0	('Torrent', 'Rain Dish')	{'R/B/Y': 7, 'G/S/C': 232, 'FR/LG': 7, 'HG/SS': 237, 'X/Y': 86}	7	45	[0, 0, 1, 0, 0, 0]	50	63	Medium Slow	('Monster', 'Water 1')	(87.5, 12.5)	20	[44, 48, 65, 50, 64, 43]	314	[('Tackle', 1), ('Tail Whip', 4), ('Bubble', 7), ('Withdraw', 10), ('Water Gun', 13), ('Bite', 16), ('Rapid Spin', 19), ('Protect', 22), ('Water Pulse', 25), ('Aqua Tail', 28), ('Skull Bash', 31), ('Rain Dance', 34), ('Hydro Pump', 37)]
